latitude,longitude,heat
-34.7825,138.6106,38
24.4798,118.0819,1619
-33.4940,143.2104,9460
23.1167,113.2500,2045
35.6900,139.6900,19985
34.3409,132.5311,8
34.3231,132.3117,7
35.6882,139.7532,7023
34.3500,132.3333,18
34.4586,132.4630,3
34.4299,132.5910,6
34.3401,132.4439,24
34.4524,132.4782,4
34.3721,132.3469,3
35.4726,133.0679,3
35.4240,133.3594,2
34.5337,133.6546,9
35.4000,133.1167,2
35.5314,134.2118,3
35.4349,133.3587,3
34.6154,133.6852,45
34.6823,133.9235,9
35.5000,134.2333,31
35.4119,133.8125,3
34.5298,133.7390,7
35.3667,132.7333,5
35.4333,133.3333,14
35.4498,133.0435,24
35.4333,133.8167,10
35.5417,134.1000,2
34.6500,133.9333,174
35.4490,133.3551,2
35.4436,133.0788,3
35.4215,133.2422,5
19.1000,100.8167,2
7.1988,100.5951,41
14.3738,100.5631,25
14.8000,100.6167,48
13.7500,100.4667,3212
13.6855,100.5003,53
12.7833,101.6500,5
9.1308,99.3628,27
9.9667,98.6333,10
12.6667,101.2833,46
13.7663,100.6503,159
12.2131,102.5776,8
7.9167,98.3500,39
13.1667,100.9333,73
13.7540,100.5014,116
13.6682,100.5805,143
16.6667,99.6000,4
13.4000,100.0000,11
14.6488,100.4788,3
13.7159,100.4170,129
13.7086,100.4553,587
13.1604,101.1083,126
13.5854,99.7875,18
5.9333,101.9000,2
34.7725,113.7266,6830
34.6497,135.4392,30
16.8833,101.8833,2
18.0167,103.2833,3
17.4833,101.7167,32
18.0501,103.3054,18
17.9794,100.0533,3
18.7910,98.9782,147
14.1833,100.2833,73
13.9333,100.7500,18
13.7594,100.4889,536
17.4719,103.4583,6
16.1848,103.3007,6
17.1336,102.9675,105
16.2950,102.6138,65
17.8450,102.5842,4
16.3333,102.6500,2
17.4064,103.2389,8
14.8818,103.4936,22
15.4167,102.9000,5
16.0500,103.6667,6
17.6333,103.7667,7
13.7330,100.4865,132
39.9289,116.3883,1938
37.7510,-97.8220,165575
17.4157,102.7859,7
16.7167,102.6500,2
16.3167,103.3000,2
16.4433,101.1475,8
6.6819,101.2714,3
14.6167,103.0833,5
6.7580,101.3775,11
16.8333,100.2500,47
16.0667,99.8667,3
16.4333,100.3667,6
15.5833,102.4167,3
15.0598,102.2215,69
16.3100,99.6800,11
12.7167,101.0667,16
16.7000,102.8667,4
6.7031,101.6203,3
13.8167,100.7500,76
13.7167,100.7833,50
13.8594,100.4775,208
16.4333,103.5000,12
13.7618,100.5324,213
13.7667,100.4500,52
13.8000,100.5333,55
13.0694,100.0528,12
13.8667,100.1917,88
13.5167,99.9333,2
17.2833,101.1500,2
9.1167,99.2000,7
12.9833,77.5833,2711
18.5332,73.8626,2273
18.9721,72.8246,3527
20.0000,77.0000,10233
19.2000,72.9667,472
22.6500,88.3833,3
13.0843,80.2805,2061
19.0368,73.0158,375
22.5720,88.3670,1307
28.4666,77.0309,1105
3.0473,101.5712,33
3.0186,101.4286,19
3.1071,101.6139,60
3.0643,101.7543,64
3.1100,101.5538,107
3.1365,101.6941,11
2.5000,112.5000,1233
3.1090,101.5704,47
3.0947,101.6796,85
3.1684,101.7033,68
3.1440,101.5875,76
3.1013,101.6915,86
3.1336,101.6675,71
3.1492,101.6951,60
5.3653,100.3067,41
6.0432,100.5221,3
5.7879,100.4719,5
3.5281,101.9763,9
5.3294,100.2907,56
4.5916,101.0967,8
5.3956,100.3111,35
6.0276,100.3989,3
3.0081,101.7719,172
3.7577,101.9827,6
2.8093,101.8334,33
2.2086,111.6000,35
1.5620,110.3152,40
3.1572,101.6695,51
3.0833,101.5333,59
3.0750,101.7382,26
3.0232,101.4621,122
1.4484,103.5873,13
1.4656,103.9435,5
5.3344,100.4673,52
4.3170,100.7977,7
2.9881,101.6053,12
3.1296,101.6274,88
3.1093,101.6995,25
3.1479,101.7008,24
2.2582,102.3555,6
2.7107,101.9513,10
1.6712,103.9725,15
2.9264,101.6964,23
1.4655,103.7578,39
1.9226,103.4038,39
3.0384,101.7105,92
3.1833,101.6584,44
3.1419,101.6934,78
3.5321,103.4619,2
4.3305,103.3520,6
3.1189,101.6746,109
3.1200,101.5952,42
3.1065,101.6079,156
1.5243,103.8240,2
2.7486,101.9435,20
5.6639,100.4902,55
2.0102,102.6981,15
5.9749,116.0724,23
2.7724,101.9402,17
3.1876,101.6720,38
5.9479,116.0827,59
2.2872,102.2759,13
2.5829,101.8402,7
2.6910,101.9890,2
3.1571,101.6019,44
3.0542,101.5949,84
4.6114,101.1043,40
13.7877,100.5068,296
8.6333,99.3500,4
6.8021,100.6211,10
9.1417,99.3313,18
14.0435,100.6421,112
17.0153,99.7078,4
13.7366,100.4995,47
12.8000,99.9667,16
14.0167,100.1667,7
14.8167,100.5167,8
14.3333,100.8667,11
16.7000,103.7667,4
15.6633,104.3067,9
13.5033,102.1812,3
16.1833,100.8500,3
18.2983,99.5072,27
8.0667,99.3000,2
6.8667,100.9667,2
13.2167,99.9833,2
13.5333,100.2833,57
13.6500,100.2667,18
